# Fonte: Synthea-br MVP — hospitais genéricos fictícios (100% sintético).
# state = UF nome completo (contrato Story 3.2 / Person.STATE).
provider_num,npi,name,address,city,state,zip,fips_county,lat,lon,phone,provider_type_code,category,emergency,upin,pin,region_code,bed_count,clia_lab_number
"BR-HSP-3550308","8003550308","Hospital Geral Exemplo São Paulo","Rua Hospital 1, 500","São Paulo","São Paulo","01000000","",-23.5505,-46.6333,"1131001000","00-09","01-02",true,,,"04",80,
"BR-HSP-3304557","8003304557","Hospital Geral Exemplo Rio de Janeiro","Rua Hospital 2, 500","Rio de Janeiro","Rio de Janeiro","20000000","",-22.9068,-43.1729,"1131001001","00-09","01-02",true,,,"04",80,
"BR-HSP-3106200","8003106200","Hospital Geral Exemplo Belo Horizonte","Rua Hospital 3, 500","Belo Horizonte","Minas Gerais","30000000","",-19.9167,-43.9345,"1131001002","00-09","01-02",true,,,"04",80,
"BR-HSP-4106902","8004106902","Hospital Geral Exemplo Curitiba","Rua Hospital 4, 500","Curitiba","Paraná","80000000","",-25.4284,-49.2733,"1131001003","00-09","01-02",true,,,"04",80,
"BR-HSP-4314902","8004314902","Hospital Geral Exemplo Porto Alegre","Rua Hospital 5, 500","Porto Alegre","Rio Grande do Sul","90000000","",-30.0346,-51.2177,"1131001004","00-09","01-02",true,,,"04",80,
"BR-HSP-2927408","8002927408","Hospital Geral Exemplo Salvador","Rua Hospital 6, 500","Salvador","Bahia","40000000","",-12.9714,-38.5014,"1131001005","00-09","01-02",true,,,"04",80,
"BR-HSP-2304400","8002304400","Hospital Geral Exemplo Fortaleza","Rua Hospital 7, 500","Fortaleza","Ceará","60000000","",-3.7172,-38.5433,"1131001006","00-09","01-02",true,,,"04",80,
"BR-HSP-2611606","8002611606","Hospital Geral Exemplo Recife","Rua Hospital 8, 500","Recife","Pernambuco","50000000","",-8.0476,-34.8770,"1131001007","00-09","01-02",true,,,"04",80,
"BR-HSP-1302603","8001302603","Hospital Geral Exemplo Manaus","Rua Hospital 9, 500","Manaus","Amazonas","69000000","",-3.1190,-60.0217,"1131001008","00-09","01-02",true,,,"04",80,
"BR-HSP-5208707","8005208707","Hospital Geral Exemplo Goiânia","Rua Hospital 10, 500","Goiânia","Goiás","74000000","",-16.6869,-49.2648,"1131001009","00-09","01-02",true,,,"04",80,
"BR-HSP-2111300","8002111300","Hospital Geral Exemplo São Luís","Rua Hospital 11, 500","São Luís","Maranhão","65000000","",-2.5387,-44.2825,"1131001010","00-09","01-02",true,,,"04",80,
"BR-HSP-1501402","8001501402","Hospital Geral Exemplo Belém","Rua Hospital 12, 500","Belém","Pará","66000000","",-1.4558,-48.5044,"1131001011","00-09","01-02",true,,,"04",80,
